country;arrivals;revenue_dollars;gdp_dollars;percent_of_gdp;primary_energy_consumption_per_capita_kwh/person;annual_co2_emissions_per_capita);tourist_departures;arrival_rank;revenue_rank;code;population_size_in_millions
France;194,400,352,941;60693538500.0;2572769444444.4443;2.365995613645683;46578.25944444445;5.785814544444444;33,210,933;1;3;FRA;65,738,947,368
United States;151,696,074,448;166944315789.4737;16748166842105.264;1.0029257587763152;82697.68852631579;17.689408868421054;121,791,444;2;1;USA;315,208,947,368
China;128,365,588,235;23231000000.0;7865837777777.777;1.2730883169138567;22115.587166666668;6.262648355555555;78,077,000;3;11;CHN;1,361,403,157,894
Spain;99,926,705,882;66550207000.0;1321116111111.111;4.8335905134793835;36468.53038888889;6.464623594444444;15,680,000;4;2;ESP;46,195,263,157
Mexico;87,918,176,470;15630877777.777779;1122787777777.7778;1.388740200392117;18583.608111111113;4.103036161111111;97678.500;5;17;MEX;116,716,842,105
Italy;74,091,505,974;42415801500.0;2028433333333.3333;2.0915868143981187;33111.542166666666;6.975173638888889;51322.777;6;6;ITA;59,418,421,052
Poland;70,040,062,500;10907795388.88889;462903333333.3333;2.3604042518270196;29302.003333333338;8.411758861111112;44445.117;7;22;POL;37,970,526,315
Croatia;49,841,294,117;8931797157.894737;56243684210.52631;15.982883326368198;23286.432578947366;4.697175215789474;3889.500;8;24;HRV;4,191,578,947
Hungary;44,073,647,058;6532177421.052631;136230000000.0;4.80136533349548;27573.116210526314;5.218141063157894;17508.444;9;28;HUN;9,901,578,947
Hong Kong SAR, China;41,085,705,882;28737235294.117645;261040555555.55554;10.795278480984136;42946.49005555556;5.864413616666667;78516.833;10;9;HKG;7,166,842,105
Turkiye;33,021,529,411;29166062500.0;729681666666.6666;3.7493624517396333;18179.65538888889;4.501708083333333;6950.833;11;8;TUR;76,290,526,315
United Kingdom;32,872,176,470;52078041666.666664;2699111111111.1113;1.8838393521420889;38127.465055555556;7.539518172222222;69,882,500;12;4;GBR;64,014,736,842
Canada;29,377,875,000;20998492263.157894;1556232105263.158;1.356676974869895;112214.08426315789;16.351894157894737;53301.071;13;12;CAN;35,173,157,894
Germany;28,694,411,764;46445487611.111115;3461572777777.778;1.3459457664659065;46805.65522222222;9.915571833333333;87,730,235;14;5;DEU;82,137,894,736
Czechia;27,231,875,000;7118441388.888889;198151111111.1111;3.66802266978455;47606.34677777778;10.90850975;6745.833;15;27;CZE;10,483,157,894
Denmark;26,891,235,294;8059334105.263158;321697894736.8421;2.503752263124134;38060.3877368421;7.782569757894737;7121.222;16;26;DNK;5,634,210,526
Macao SAR, China;26,256,117,647;24303888888.88889;33211666666.666668;69.90449199735642;19805.076777777776;2.5768203166666668;1053.937;17;10;MAC;591,052,631,
Russian Federation;24,193,941,176;13382444444.444445;1452630555555.5557;0.9584332440952004;54990.027111111114;11.314215555555556;35778.555;18;21;RUS;143,662,631,578
Austria;23,825,235,294;19982240176.47059;397592105263.1579;5.036527378305599;48373.32215789474;8.265922868421052;9867.777;19;14;AUT;8,561,052,631
Thailand;22,833,750,000;32009166666.666668;351758888888.8889;8.706141000751208;17874.019333333334;3.6132294277777777;5719.117;20;7;THA;69,164,210,526
Greece;22,791,181,818;15599008842.105263;246132631578.94736;6.581500217213374;32479.072578947365;8.13927814736842;5443.153;21;18;GRC;10,886,315,789
Malaysia;22,265,882,352;17186166666.666668;259983888888.8889;6.820321940003026;34202.77733333333;7.240672483333333;31481.000;22;16;MYS;29,974,736,842
United Arab Emirates;19,745,000,.000;14983900065.104166;315910000000.0;4.18962406507065;136910.31527777776;24.113671;16635.833;23;19;ARE;7,934,736,842
Ukraine;19,149,529,411;3518111111.111111;129652222222.22223;2.7167759773123077;28847.772666666668;6.088168716666667;21470.428;24;29;UKR;45,160,000,000
Saudi Arabia;16,734,937,500;9964933333.333334;582322777777.7778;1.5592630626403412;82505.54505555556;17.771574722222223;16440.062;25;23;SAU;31,016,842,105
Slovak Republic;14,526,000,000;2236474368.4210525;90132631578.94737;2.459418561264112;36747.03647368421;6.945355936842105;3298.066;26;30;SVK;5,411,052,631
Japan;13,547,517,635;20943616666.666668;5099418888888.889;0.4160760210148686;44325.16172222222;9.632698472222224;16317.777;27;13;JPN;127,233,684,210
Netherlands;12,760,823,529;19644529125.0;833569473684.2106;2.3422551495668946;63581.91652631579;9.887851931578947;18388.529;28;15;NLD;16,862,105,263
Singapore;12,735,558,823;13561375000.0;253718333333.33334;5.457516816176316;145047.57083333333;8.840449522222222;7316.888;29;20;SGP;5,188,421,052
South Africa;11,433,152,946;8667281578.947369;353753684210.5263;2.5090222630999897;26451.693684210524;8.487700305263157;;30;25;ZAF;54,064,736,842