Country;Diversification;Business Environment;Dynamism;Physical Infrastructure;Capital Flows;Economic Management;Economy
Afghanistan;5,6;3,2;2,6;4,5;2,4;4,6;3,8
Albania;5,8;4,8;3,1;6,6;4,1;6,5;5,1
Algeria;4,3;3,0;1,8;6,2;2,6;5,3;3,8
Angola;3,6;2,9;1,5;3,1;1,7;3,0;2,6
Argentina;7,4;4,3;2,3;6,8;3,2;5,2;4,9
Armenia;6,1;5,3;2,5;6,7;4,4;6,5;5,2
Australia;6,5;9,2;5,8;9,0;4,3;7,3;7,0
Austria;6,5;8,3;7,0;9,4;4,3;7,8;7,2
Azerbaijan;3,8;4,7;2,6;8,1;3,8;5,4;4,7
Bahrain;5,9;6,4;2,4;7,6;5,4;6,5;5,7
Bangladesh;7,7;3,7;1,8;5,7;3,0;5,7;4,6
Belarus;5,0;4,0;2,9;6,7;3,3;6,6;4,7
Belgium;6,2;8,4;6,5;9,2;4,3;7,6;7,0
Benin;5,8;3,9;2,1;3,8;2,6;5,6;4,0
Bolivia;5,8;3,8;2,0;5,7;3,0;6,2;4,4
Bosnia and Herzegovina;5,8;4,2;1,8;6,6;4,0;6,9;4,9
Botswana;3,7;5,4;2,6;5,9;3,4;6,6;4,6
Brazil;6,8;5,7;3,0;7,0;3,4;6,2;5,3
Bulgaria;5,9;6,0;3,5;7,3;3,8;7,4;5,6
Burkina Faso;4,3;3,6;1,7;2,7;2,7;6,0;3,5
Burundi;6,3;3,4;1,2;2,0;2,5;4,2;3,3
Cambodia;6,1;3,6;1,7;5,7;3,3;6,8;4,5
Cameroon;5,4;3,2;2,4;4,6;2,4;5,9;4,0
Canada;5,9;9,4;5,2;8,9;4,2;7,5;6,9
Central African Republic;6,5;2,0;2,4;1,6;2,0;5,5;3,3
Chad;4,2;2,4;1,4;1,9;2,1;4,9;2,8
Chile;5,6;6,9;3,0;8,2;4,0;6,7;5,7
China;9,4;6,4;4,9;8,5;3,6;7,5;6,7
Colombia;6,0;5,2;2,2;7,0;3,6;6,2;5,0
Congo Democratic Republic;4,9;2,1;1,4;2,2;2,1;4,6;2,9
Congo Republic;3,7;2,5;3,3;3,4;1,8;4,6;3,2
Costa Rica;6,1;5,7;2,6;7,1;3,6;7,1;5,4
Cote d'Ivoire;5,3;3,9;1,8;5,4;2,8;6,2;4,3
Croatia;6,1;6,2;3,3;8,0;4,2;7,9;5,9
Cuba;6,2;3,0;2,3;5,8;3,8;4,4;4,2
Cyprus;5,8;7,3;3,7;7,9;3,8;7,6;6,0
Czechia;6,4;7,0;5,2;8,5;4,2;7,7;6,5
Denmark;6,3;8,9;7,9;9,3;4,5;8,0;7,5
Dominican Republic;6,3;4,5;3,2;6,6;4,1;6,5;5,2
Ecuador;4,9;3,6;2,1;6,9;3,3;6,2;4,5
Egypt;7,4;4,3;2,2;7,0;3,6;5,1;4,9
El Salvador;6,9;4,6;1,5;6,4;5,2;6,9;5,3
Equatorial Guinea;3,6;2,5;6,4;4,1;3,2;4,6;4,1
Estonia;5,9;7,2;5,0;8,1;4,6;7,8;6,4
Eswatini;5,1;3,7;1,9;5,9;3,0;5,7;4,2
Ethiopia;6,6;3,0;1,6;3,8;2,3;4,5;3,7
Finland;6,3;8,9;7,1;9,3;4,4;7,4;7,2
France;7,1;8,7;6,0;9,3;4,3;7,8;7,2
Gabon;3,6;3,0;4,3;5,0;2,4;5,4;4,0
Gambia;6,0;3,5;1,5;3,7;5,0;4,6;4,1
Georgia;6,7;5,9;2,7;6,8;4,9;5,9;5,5
Germany;7,2;8,7;7,2;9,8;4,4;8,0;7,6
Ghana;5,3;4,3;2,2;5,5;3,4;4,5;4,2
Greece;6,3;6,4;3,6;8,1;3,1;6,8;5,7
Guatemala;6,3;4,3;1,6;6,1;4,3;6,3;4,8
Guinea;3,5;3,5;1,7;2,7;2,7;4,1;3,0
Guinea Bissau;3,4;2,5;2,0;2,4;2,8;5,8;3,2
Haiti;6,6;2,2;1,0;3,1;3,8;3,6;3,4
Honduras;5,3;3,9;1,5;6,1;5,1;6,1;4,7
Hungary;6,2;6,0;4,3;8,1;6,1;7,6;6,4
India;8,5;5,3;2,7;7,1;3,6;5,4;5,4
Indonesia;7,7;5,2;2,1;7,2;3,5;6,2;5,3
Iran;6,3;3,4;2,7;6,5;2,6;3,3;4,1
Iraq;4,5;3,4;1,4;5,6;2,4;5,8;3,9
Ireland;6,4;8,5;5,6;8,3;4,3;8,6;6,9
Israel;7,0;8,1;8,8;8,2;4,4;8,0;7,4
Italy;7,4;8,0;4,2;8,9;3,8;7,5;6,6
Jamaica;5,2;5,2;3,8;6,5;5,4;5,6;5,3
Japan;9,4;9,3;6,7;9,6;4,4;8,3;7,9
Jordan;7,7;5,5;2,3;6,9;4,4;6,0;5,5
Kazakhstan;4,6;5,1;2,2;6,7;3,6;6,2;4,7
Kenya;7,0;4,1;2,8;5,4;3,5;6,0;4,8
South Korea;9,1;8,2;8,7;8,9;4,3;8,0;7,9
Kuwait;4,9;6,4;2,3;7,5;3,3;6,1;5,1
Kyrgyzstan;4,6;3,8;1,8;6,0;5,5;5,4;4,5
Laos;3,9;3,6;2,2;6,2;2,6;6,2;4,1
Latvia;5,4;6,3;3,3;7,8;4,2;7,8;5,8
Lebanon;7,1;4,5;3,6;6,6;4,8;2,9;4,9
Lesotho;4,4;3,4;1,6;3,4;4,6;4,8;3,7
Liberia;4,5;3,2;2,5;2,3;3,4;3,9;3,3
Libya;2,6;1,6;2,4;4,5;2,1;6,0;3,2
Lithuania;5,9;6,3;3,7;7,6;4,2;7,7;5,9
Madagascar;6,1;3,2;1,4;2,8;2,8;5,3;3,6
Malawi;5,8;3,4;1,9;2,5;3,0;4,6;3,5
Malaysia;8,2;7,2;4,0;8,0;4,1;7,3;6,5
Mali;4,5;3,4;1,6;3,6;2,9;5,9;3,6
Mauritania;4,4;2,9;1,1;3,4;2,5;5,0;3,2
Mauritius;6,3;6,7;2,9;7,4;4,1;6,3;5,6
Mexico;6,2;5,3;2,4;7,5;3,9;6,6;5,3
Moldova;5,5;4,7;2,1;6,2;4,5;6,5;4,9
Mongolia;2,5;5,1;2,5;5,6;3,4;5,9;4,2
Morocco;6,5;4,9;3,0;6,9;4,0;6,1;5,2
Mozambique;4,9;3,1;1,6;3,1;3,1;4,9;3,4
Myanmar;5,1;3,3;1,3;4,2;2,1;4,2;3,4
Namibia;5,0;5,6;2,0;5,3;3,2;5,2;4,4
Nepal;6,1;3,7;2,1;5,0;4,8;5,6;4,6
Netherlands;6,2;8,9;6,7;9,7;3,8;7,9;7,2
New Zealand;7,1;8,7;5,6;9,1;4,5;7,4;7,1
Nicaragua;5,7;3,3;1,4;6,7;4,2;5,8;4,5
Niger;7,9;3,3;1,6;2,1;2,7;5,5;3,9
Nigeria;4,1;3,6;2,5;4,3;3,1;3,2;3,5
North Macedonia;6,0;5,2;2,4;6,7;3,8;6,6;5,1
Norway;4,7;8,6;6,6;8,8;4,4;7,7;6,8
Oman;5,1;5,9;2,3;7,7;3,6;6,3;5,1
Pakistan;7,9;3,8;1,8;4,9;3,7;4,6;4,4
Panama;6,4;5,7;2,4;7,6;3,5;7,0;5,4
Papua New Guinea;3,8;3,8;1,5;4,0;2,8;5,2;3,5
Paraguay;5,4;4,0;1,7;6,4;3,3;6,5;4,5
Peru;5,6;5,7;2,4;6,4;3,6;6,7;5,1
Philippines;8,4;4,9;2,0;6,8;4,1;7,0;5,5
Poland;6,5;6,6;3,8;8,1;3,8;7,4;6,0
Portugal;6,5;7,6;4,7;8,4;4,0;7,6;6,5
Qatar;5,4;7,3;3,4;8,3;3,7;6,6;5,8
Romania;6,7;5,4;2,8;7,6;4,0;7,3;5,6
Russia;6,1;5,3;3,6;7,2;3,3;6,9;5,4
Rwanda;6,8;4,6;2,3;4,5;3,9;6,3;4,7
Saudi Arabia;6,3;5,8;3,4;7,8;3,5;5,7;5,4
Senegal;5,8;4,2;2,1;4,8;3,9;5,5;4,4
Serbia;6,6;4,7;3,0;7,0;4,2;7,2;5,4
Sierra Leone;6,9;3,3;2,5;2,0;2,4;3,9;3,5
Singapore;8,4;7,7;7,3;9,7;7,3;8,6;8,2
Slovakia;5,9;6,8;3,6;7,8;4,1;7,3;5,9
Slovenia;6,3;6,9;5,0;8,3;4,0;8,0;6,4
Somalia;5,5;3,8;2,2;2,7;5,4;3,4;3,8
South Africa;7,4;5,1;3,0;6,9;3,4;5,9;5,3
South Sudan;2,9;3,0;2,6;1,2;3,0;2,7;2,6
Spain;7,2;6,7;4,2;9,1;4,1;7,3;6,5
Sri Lanka;7,8;5,0;1,8;6,5;3,6;5,4;5,0
Sudan;6,6;2,5;2,9;3,7;2,6;2,8;3,5
Sweden;6,4;8,9;8,2;9,6;4,4;7,9;7,6
Switzerland;7,0;9,7;8,4;9,3;3,6;8,0;7,7
Syria;6,7;2,0;1,6;5,4;2,7;4,5;3,8
Tajikistan;5,7;3,5;1,9;5,4;5,1;5,5;4,5
Tanzania;6,7;3,4;1,9;3,8;2,9;6,0;4,1
Thailand;8,9;6,4;3,2;7,8;3,6;7,5;6,2
Timor-Leste;6,1;2,8;;9,5;3,2;7,1;5,8
Togo;6,1;3,7;1,6;3,8;3,0;5,6;4,0
Trinidad and Tobago;6,5;5,0;2,0;6,7;3,3;6,2;5,0
Tunisia;6,7;4,4;2,5;6,2;3,4;5,4;4,8
Turkey;7,9;5,7;3,2;7,8;3,5;5,0;5,5
Turkmenistan;4,5;2,3;3,7;5,7;2,8;6,2;4,2
Uganda;5,9;3,7;1,5;3,6;3,4;5,6;4,0
Ukraine;6,6;4,5;2,6;6,4;3,5;6,5;5,0
United Arab Emirates;6,3;7,5;4,7;9,2;5,6;6,5;6,6
United Kingdom;7,5;9,4;6,2;9,4;4,4;7,8;7,4
United States;8,4;9,3;7,5;9,5;4,3;7,9;7,8
Uruguay;6,6;5,8;2,3;6,8;3,7;5,4;5,1
Uzbekistan;5,6;3,8;2,0;6,4;4,1;5,7;4,6
Venezuela;4,5;2,1;1,6;5,5;2,0;2,9;3,1
Vietnam;7,9;4,8;2,6;7,4;3,4;7,1;5,5
Palestine;5,9;5,1;1,8;10,0;5,4;5,7;5,6
Yemen;6,3;2,1;1,1;4,2;2,9;3,0;3,3
Zambia;4,7;3,6;2,6;3,7;2,9;3,5;3,5
Zimbabwe;4,4;2,8;2,0;3,1;3,0;3,7;3,2