Country;Food / Nutrition;Education Outcomes;Health;Wealth;Individual Capabilities/Resources
Afghanistan;5,2;1,9;4,2;2,6;3,5
Albania;7,9;8,4;6,8;5,8;7,2
Algeria;7,1;6,8;7,6;6,2;7,0
Angola;4,2;4,2;3,3;3,1;3,7
Argentina;8,5;9,0;8,0;4,8;7,6
Armenia;8,9;8,6;7,0;5,8;7,6
Australia;9,2;9,6;9,3;7,7;8,9
Austria;9,4;9,2;9,2;7,9;8,9
Azerbaijan;7,3;8,3;6,0;5,2;6,7
Bahrain;6,8;8,0;7,5;4,0;6,6
Bangladesh;5,8;5,7;6,8;5,2;5,9
Belarus;8,5;9,3;7,6;6,9;8,1
Belgium;9,0;9,2;9,2;7,8;8,8
Benin;4,1;3,3;3,4;3,0;3,4
Bolivia;6,9;7,4;6,2;4,5;6,2
Bosnia and Herzegovina;8,3;7,9;7,1;5,8;7,3
Botswana;5,5;7,3;5,9;3,9;5,7
Brazil;8,4;7,6;7,9;4,1;7,0
Bulgaria;8,1;8,7;7,4;5,9;7,5
Burkina Faso;3,9;2,9;3,9;3,8;3,6
Burundi;3,2;4,4;3,8;2,4;3,5
Cambodia;5,5;5,5;5,9;3,9;5,2
Cameroon;5,1;5,5;3,1;3,5;4,3
Canada;9,5;9,6;9,3;7,1;8,9
Central African Republic;2,7;2,2;1,8;1,2;2,0
Chad;3,4;1,4;1,8;2,9;2,4
Chile;9,0;8,7;8,8;6,1;8,1
China;8,7;7,7;8,3;5,9;7,7
Colombia;7,8;7,8;8,2;4,4;7,1
Congo Democratic Republic;3,1;4,6;3,0;2,2;3,2
Congo Republic;3,6;5,5;4,3;3,4;4,2
Costa Rica;8,8;8,2;8,8;5,1;7,7
Cote d'Ivoire;4,0;5,2;3,0;4,0;4,1
Croatia;8,7;8,9;8,0;6,5;8,0
Cuba;8,8;8,7;8,5;3,5;7,4
Cyprus;9,3;9,0;9,1;7,3;8,7
Czechia;8,8;9,3;8,7;7,7;8,6
Denmark;9,2;9,7;9,1;8,5;9,1
Dominican Republic;7,5;7,6;7,3;5,4;6,9
Ecuador;7,6;7,8;8,1;4,6;7,0
Egypt;7,2;6,3;6,9;5,5;6,5
El Salvador;7,9;6,5;7,3;5,1;6,7
Equatorial Guinea;3,3;5,4;2,8;2,1;3,4
Estonia;8,7;9,6;8,4;6,9;8,4
Eswatini;6,7;6,6;4,3;3,0;5,1
Ethiopia;5,2;3,4;5,3;4,2;4,5
Finland;9,5;9,7;9,3;8,1;9,2
France;9,4;8,6;9,5;7,6;8,8
Gabon;4,7;6,5;4,7;5,1;5,3
Gambia;5,2;3,9;3,7;4,3;4,3
Georgia;7,8;9,2;6,8;5,4;7,3
Germany;9,3;9,8;9,2;7,6;9,0
Ghana;5,6;6,0;4,4;4,3;5,1
Greece;8,9;8,9;8,7;6,3;8,2
Guatemala;7,9;6,0;6,9;3,9;6,2
Guinea;2,5;2,4;3,1;3,9;3,0
Guinea Bissau;2,8;2,7;3,2;2,3;2,7
Haiti;2,8;4,1;4,2;3,1;3,6
Honduras;7,4;6,4;7,3;3,4;6,1
Hungary;8,6;9,0;8,0;6,8;8,1
India;4,9;5,7;6,0;4,6;5,3
Indonesia;6,7;7,5;6,8;5,4;6,6
Iran;8,1;7,8;7,7;5,0;7,2
Iraq;6,0;5,8;6,1;5,8;5,9
Ireland;9,6;9,6;9,2;9,3;9,4
Israel;9,2;9,3;9,0;6,2;8,4
Italy;9,1;8,8;9,1;6,6;8,4
Jamaica;8,3;7,9;7,5;4,1;7,0
Japan;9,0;9,2;9,3;6,6;8,5
Jordan;6,8;7,8;7,0;5,2;6,7
Kazakhstan;7,9;9,2;7,3;6,9;7,8
Kenya;5,4;6,1;5,5;3,9;5,2
South Korea;8,9;9,0;9,6;6,8;8,6
Kuwait;8,4;7,5;7,6;4,4;7,0
Kyrgyzstan;7,1;8,4;6,8;5,7;7,0
Laos;5,8;5,9;5,8;5,0;5,6
Latvia;8,7;9,6;7,8;6,4;8,1
Lebanon;7,8;7,5;7,8;5,5;7,2
Lesotho;5,9;6,3;2,8;2,9;4,5
Liberia;3,4;3,5;4,2;3,4;3,6
Libya;6,9;5,7;6,4;2,7;5,4
Lithuania;8,8;9,6;7,8;6,5;8,2
Madagascar;3,8;5,6;5,3;2,2;4,2
Malawi;4,8;4,9;5,1;3,0;4,4
Malaysia;7,7;8,3;7,3;5,9;7,3
Mali;4,0;2,3;3,2;2,7;3,0
Mauritania;5,2;3,8;4,3;4,7;4,5
Mauritius;7,9;8,0;6,9;6,4;7,3
Mexico;8,2;7,8;7,6;5,0;7,2
Moldova;7,2;8,5;6,8;6,1;7,1
Mongolia;8,9;8,4;6,3;5,5;7,3
Morocco;7,3;5,5;7,4;5,6;6,4
Mozambique;3,1;4,0;3,6;2,6;3,3
Myanmar;5,8;6,1;5,8;5,2;5,7
Namibia;6,5;6,9;5,0;4,0;5,6
Nepal;6,2;5,1;6,0;3,7;5,3
Netherlands;9,3;9,4;9,3;8,2;9,1
New Zealand;9,3;9,6;9,1;6,3;8,6
Nicaragua;7,3;6,5;7,6;4,6;6,5
Niger;2,8;2,3;3,9;3,4;3,1
Nigeria;3,7;4,5;2,4;3,6;3,5
North Macedonia;8,7;8,0;6,7;5,3;7,2
Norway;9,2;9,7;9,4;8,6;9,2
Oman;7,7;8,1;7,1;4,5;6,8
Pakistan;5,4;3,9;4,8;5,4;4,9
Panama;8,3;8,1;8,1;5,1;7,4
Papua New Guinea;5,7;4,5;4,5;2,5;4,3
Paraguay;7,4;7,4;7,4;4,8;6,7
Peru;7,6;8,0;7,8;5,0;7,1
Philippines;8,2;7,9;6,3;5,2;6,9
Poland;9,2;9,1;8,2;6,9;8,3
Portugal;9,1;8,4;9,0;6,7;8,3
Qatar;7,6;8,1;8,1;7,7;7,9
Romania;8,2;8,7;7,7;5,7;7,6
Russia;8,5;9,2;7,2;6,5;7,9
Rwanda;5,3;5,2;5,9;3,4;5,0
Saudi Arabia;7,9;8,3;6,7;4,1;6,8
Senegal;4,4;3,5;5,3;3,6;4,2
Serbia;7,9;8,7;7,1;5,3;7,2
Sierra Leone;3,2;3,4;2,5;3,5;3,2
Singapore;9,0;9,1;9,4;8,6;9,0
Slovakia;8,0;8,8;8,2;7,0;8,0
Slovenia;8,7;9,6;9,0;7,6;8,7
Somalia;3,2;3,4;2,2;1,0;2,4
South Africa;6,5;7,8;5,2;3,5;5,7
South Sudan;4,3;2,0;2,5;1,4;2,5
Spain;9,0;8,8;9,4;6,5;8,4
Sri Lanka;6,8;8,2;7,9;5,9;7,2
Sudan;4,9;3,4;4,4;3,3;4,0
Sweden;9,2;9,5;9,3;7,8;9,0
Switzerland;9,4;9,5;9,5;8,7;9,3
Syria;4,7;4,5;6,7;3,2;4,8
Tajikistan;5,2;8,1;6,0;5,0;6,1
Tanzania;4,6;5,4;4,9;4,0;4,7
Thailand;7,6;7,6;8,4;6,0;7,4
Timor-Leste;6,1;5,2;5,6;4,6;5,4
Togo;3,9;4,5;3,6;2,9;3,7
Trinidad and Tobago;8,5;8,4;6,9;4,5;7,1
Tunisia;7,2;6,5;7,7;5,7;6,8
Turkey;8,3;7,8;7,7;5,9;7,4
Turkmenistan;7,7;7,7;5,9;3,8;6,3
Uganda;4,3;5,4;4,5;3,9;4,5
Ukraine;8,0;9,0;7,0;6,4;7,6
United Arab Emirates;8,2;8,7;7,6;6,5;7,8
United Kingdom;9,4;9,7;9,0;7,1;8,8
United States;9,6;9,5;8,3;7,2;8,7
Uruguay;8,4;8,5;8,4;5,9;7,8
Uzbekistan;7,4;8,3;6,9;4,1;6,7
Venezuela;5,6;8,1;7,0;4,1;6,2
Vietnam;7,7;7,5;7,6;5,5;7,1
Palestine;;7,8;6,8;4,2;6,3
Yemen;1,6;2,7;4,7;4,0;3,2
Zambia;3,9;6,2;4,7;2,3;4,3
Zimbabwe;6,3;7,0;4,6;4,2;5,5