Country;Inclusion;Social Cohesion;State Capacity;Individual Capabilities/ Resources;Environment / Ecology;Economy;Civic Space;Capacity Score
New Zealand;9,1;7,2;8,6;8,6;7,2;7,1;9,2;8,1
Norway;9,2;8,1;8,9;9,2;7,2;6,8;9,4;8,4
Sweden;9,0;7,8;8,4;9,0;7,0;7,6;9,5;8,3
Finland;9,0;7,7;8,7;9,2;6,8;7,2;9,3;8,3
Canada;8,9;6,8;8,1;8,9;6,8;6,9;8,6;7,8
Paraguay;5,3;6,6;5,7;6,7;6,8;4,5;6,5;6,0
Australia;8,8;6,4;8,4;8,9;6,7;7,0;8,6;7,8
Central African Republic;3,4;2,9;3,0;2,0;6,7;3,3;4,0;3,6
Slovenia;8,2;5,3;7,6;8,7;6,6;6,4;8,0;7,3
Austria;8,7;6,8;8,1;8,9;6,5;7,2;8,6;7,8
Brazil;6,2;5,3;5,9;7,0;6,5;5,3;7,0;6,2
Switzerland;9,0;7,4;8,8;9,3;6,5;7,7;9,1;8,3
Costa Rica;6,8;7,4;7,2;7,7;6,5;5,4;8,9;7,1
Colombia;5,3;4,6;6,5;7,1;6,4;5,0;6,6;5,9
Latvia;7,7;4,7;7,4;8,1;6,4;5,8;8,1;6,9
Zambia;4,7;5,6;4,7;4,3;6,3;3,5;5,5;4,9
Gabon;5,1;5,9;4,3;5,3;6,3;4,0;5,4;5,2
Romania;6,5;4,6;6,1;7,6;6,3;5,6;7,4;6,3
Lithuania;7,8;4,8;7,5;8,2;6,3;5,9;8,4;7,0
United Kingdom;8,4;6,2;8,2;8,8;6,3;7,4;8,7;7,7
Ecuador;5,9;5,5;5,8;7,0;6,3;4,5;6,9;6,0
Croatia;7,0;4,6;6,3;8,0;6,3;5,9;7,6;6,5
Chile;6,6;5,5;7,8;8,1;6,2;5,7;8,2;6,9
France;8,1;5,8;7,8;8,8;6,2;7,2;8,5;7,5
Estonia;8,2;5,7;8,2;8,4;6,2;6,4;8,7;7,4
Bolivia;5,9;4,5;5,2;6,2;6,2;4,4;6,2;5,5
Panama;5,9;5,9;5,9;7,4;6,2;5,4;7,3;6,3
Ireland;8,5;8,0;7,7;9,4;6,1;6,9;8,8;7,9
Denmark;9,0;7,7;8,5;9,1;6,1;7,5;9,5;8,2
Malawi;5,1;5,6;5,2;4,4;6,0;3,5;6,2;5,2
Spain;7,6;5,9;7,8;8,4;6,0;6,5;8,6;7,3
Peru;5,9;4,1;6,3;7,1;6,0;5,1;7,5;6,0
Germany;8,8;6,6;8,2;9,0;6,0;7,6;8,9;7,9
Slovakia;7,5;5,0;7,0;8,0;6,0;5,9;8,2;6,8
Congo Democratic Republic;3,8;2,8;3,1;3,2;5,9;2,9;3,9;3,7
Albania;6,0;4,7;5,2;7,2;5,9;5,1;6,8;5,9
Japan;8,4;5,5;8,1;8,5;5,9;7,9;8,1;7,5
Venezuela;5,2;4,6;4,7;6,2;5,8;3,1;3,9;4,8
Uruguay;7,3;7,6;7,5;7,8;5,8;5,1;8,7;7,1
Portugal;7,9;6,4;7,5;8,3;5,8;6,5;8,6;7,3
Uganda;5,1;4,0;4,7;4,5;5,8;4,0;5,3;4,8
Laos;5,2;4,5;4,6;5,6;5,8;4,1;2,9;4,7
Namibia;5,4;6,3;6,3;5,6;5,8;4,4;7,0;5,8
United States;7,8;5,8;7,6;8,7;5,8;7,8;8,2;7,4
Nepal;5,8;3,8;5,7;5,3;5,7;4,6;6,2;5,3
Congo Republic;3,7;3,1;3,7;4,2;5,7;3,2;3,8;3,9
Greece;7,1;4,8;6,9;8,2;5,7;5,7;8,2;6,7
Netherlands;9,2;6,6;8,6;9,1;5,7;7,2;9,0;7,9
Russia;6,7;5,3;6,0;7,9;5,6;5,4;4,6;5,9
Italy;7,5;5,2;7,1;8,4;5,6;6,6;8,6;7,0
Mozambique;5,1;5,2;4,7;3,3;5,6;3,4;5,4;4,7
Czechia;7,8;4,5;7,6;8,6;5,6;6,5;8,2;7,0
Hungary;7,0;5,1;6,9;8,1;5,6;6,4;6,4;6,5
Nicaragua;5,0;4,5;4,8;6,5;5,6;4,5;4,2;5,0
Equatorial Guinea;3,6;4,9;3,5;3,4;5,6;4,1;3,0;4,0
Poland;7,5;5,0;7,1;8,3;5,6;6,0;7,2;6,7
Tajikistan;4,2;6,9;4,8;6,1;5,5;4,5;3,1;5,0
Bulgaria;6,8;4,1;6,5;7,5;5,5;5,6;7,2;6,2
Belgium;8,3;5,9;8,1;8,8;5,5;7,0;8,7;7,5
Mongolia;7,2;5,3;5,8;7,3;5,4;4,2;7,2;6,1
Honduras;5,1;6,3;4,9;6,1;5,4;4,7;5,3;5,4
Georgia;6,7;4,9;6,5;7,3;5,4;5,5;7,1;6,2
Ethiopia;5,2;5,8;4,9;4,5;5,3;3,7;4,8;4,9
Cameroon;4,7;3,8;4,1;4,3;5,3;4,0;4,6;4,4
Mali;4,5;3,4;4,4;3,0;5,3;3,6;5,6;4,3
Kyrgyzstan;5,5;4,9;5,6;7,0;5,3;4,5;5,6;5,5
Malaysia;6,2;6,1;6,8;7,3;5,3;6,5;6,1;6,3
Niger;5,1;4,8;4,2;3,1;5,2;3,9;5,6;4,6
Papua New Guinea;4,1;5,8;4,7;4,3;5,2;3,5;5,8;4,8
Mexico;5,7;4,5;6,0;7,2;5,2;5,3;6,6;5,8
Argentina;6,4;5,3;6,0;7,6;5,2;4,9;7,8;6,2
Kazakhstan;6,9;6,4;5,9;7,8;5,2;4,7;4,5;5,9
Guinea;4,2;3,2;3,9;3,0;5,2;3,0;4,5;3,9
Botswana;5,4;6,0;6,6;5,7;5,2;4,6;7,1;5,8
Burundi;4,7;4,2;3,9;3,5;5,2;3,3;3,0;3,9
Cambodia;4,8;5,4;4,7;5,2;5,2;4,5;4,0;4,8
Belarus;7,3;5,5;6,0;8,1;5,1;4,7;4,2;5,9
Zimbabwe;5,6;5,1;4,9;5,5;5,1;3,2;4,8;4,9
North Macedonia;6,2;4,9;6,0;7,2;5,1;5,1;6,8;5,9
Serbia;6,3;4,7;5,7;7,2;5,1;5,4;6,1;5,8
Timor-Leste;5,5;5,2;5,7;5,4;5,1;5,8;6,9;5,7
Sierra Leone;4,5;6,1;4,9;3,2;5,1;3,5;6,1;4,8
United Arab Emirates;6,5;7,7;7,1;7,8;5,0;6,6;4,0;6,4
Myanmar;4,7;5,3;5,0;5,7;5,0;3,4;5,2;4,9
Burkina Faso;5,2;5,9;5,2;3,6;5,0;3,5;6,1;4,9
South Korea;7,9;5,4;7,8;8,6;5,0;7,9;8,3;7,3
Dominican Republic;5,4;6,2;5,6;6,9;4,9;5,2;7,0;5,9
Rwanda;5,6;3,7;5,8;5,0;4,9;4,7;3,9;4,8
Thailand;6,5;6,0;6,0;7,4;4,9;6,2;5,2;6,0
Chad;3,8;3,0;2,9;2,4;4,9;2,8;3,5;3,3
Angola;4,2;4,1;4,0;3,7;4,9;2,6;4,7;4,0
Kenya;5,9;5,3;5,3;5,2;4,9;4,8;6,1;5,4
Ghana;5,7;7,0;5,6;5,1;4,9;4,2;7,5;5,7
Indonesia;5,4;6,7;6,1;6,6;4,8;5,3;6,6;5,9
Tanzania;6,0;6,1;5,4;4,7;4,8;4,1;5,6;5,2
Armenia;6,1;4,7;5,9;7,6;4,8;5,2;7,0;5,9
Ukraine;6,7;4,6;5,6;7,6;4,8;5,0;6,8;5,9
Guinea Bissau;4,7;5,9;3,6;2,7;4,8;3,2;5,4;4,3
Senegal;5,3;6,1;5,6;4,2;4,7;4,4;7,1;5,3
Jamaica;6,9;7,2;6,0;7,0;4,7;5,3;7,8;6,4
Benin;5,0;6,1;5,2;3,4;4,7;4,0;5,7;4,9
Bosnia and Herzegovina;5,7;4,8;4,6;7,3;4,7;4,9;6,3;5,5
Morocco;4,9;4,5;5,7;6,4;4,7;5,2;5,7;5,3
Cuba;6,6;7,5;5,6;7,4;4,7;4,2;3,4;5,6
Trinidad and Tobago;7,3;6,9;6,7;7,1;4,7;5,0;7,9;6,5
Sri Lanka;5,7;4,6;5,9;7,2;4,6;5,0;6,0;5,6
Lesotho;5,0;6,2;5,0;4,5;4,6;3,7;6,6;5,1
Philippines;5,3;6,9;6,0;6,9;4,6;5,5;6,3;5,9
Togo;4,9;4,0;4,1;3,7;4,6;4,0;5,3;4,4
El Salvador;4,9;5,7;5,1;6,7;4,6;5,3;6,6;5,5
Kuwait;5,8;6,5;5,8;7,0;4,6;5,1;5,4;5,7
Guatemala;4,6;4,4;4,9;6,2;4,6;4,8;5,8;5,0
Nigeria;4,1;4,9;4,6;3,5;4,6;3,5;5,8;4,4
Vietnam;6,1;7,2;5,9;7,1;4,6;5,5;4,2;5,8
Cote d'Ivoire;4,8;4,2;4,7;4,1;4,5;4,3;5,6;4,6
South Africa;5,3;5,2;6,2;5,7;4,5;5,3;7,6;5,7
Sudan;3,0;2,8;3,7;4,0;4,5;3,5;3,6;3,6
Turkey;5,6;5,2;5,6;7,4;4,5;5,5;4,4;5,5
Azerbaijan;4,6;5,9;4,5;6,7;4,4;4,7;3,6;4,9
Liberia;5,2;6,1;5,0;3,6;4,4;3,3;6,4;4,9
Madagascar;4,8;6,3;4,4;4,2;4,3;3,6;5,6;4,7
South Sudan;3,3;2,7;2,6;2,5;4,3;2,6;2,5;2,9
Cyprus;7,4;4,9;6,9;8,7;4,3;6,0;8,2;6,6
Singapore;8,3;8,0;8,4;9,0;4,3;8,2;5,7;7,4
Jordan;4,5;5,1;5,5;6,7;4,3;5,5;5,1;5,2
Israel;7,5;4,9;7,5;8,4;4,3;7,4;7,9;6,8
Moldova;5,9;5,7;5,6;7,1;4,2;4,9;6,7;5,7
Egypt;4,3;3,8;5,1;6,5;4,2;4,9;3,8;4,6
Iraq;3,5;4,3;3,5;5,9;4,2;3,9;5,2;4,4
Bahrain;5,9;4,5;5,3;6,6;4,2;5,7;3,5;5,1
Bangladesh;4,7;5,7;4,8;5,9;4,1;4,6;5,0;5,0
Gambia;5,1;7,2;5,3;4,3;4,1;4,1;5,8;5,1
Saudi Arabia;5,2;4,3;6,4;6,8;4,1;5,4;2,8;5,0
Somalia;3,1;3,6;3,4;2,4;4,1;3,8;3,2;3,4
Mauritania;3,4;4,5;4,4;4,5;4,1;3,2;4,8;4,1
China;6,6;7,4;6,4;7,7;4,1;6,7;2,9;6,0
Oman;5,4;7,4;5,8;6,8;4,1;5,1;4,0;5,5
Pakistan;4,2;5,6;4,8;4,9;4,1;4,4;4,7;4,7
Eswatini;3,9;6,5;5,0;5,1;4,0;4,2;3,4;4,6
India;5,2;4,2;6,5;5,3;4,0;5,4;5,8;5,2
Palestine;3,5;5,2;6,0;6,3;3,9;5,6;4,3;5,0
Iran;5,1;5,9;5,2;7,2;3,9;4,1;3,7;5,0
Qatar;6,0;7,4;6,7;7,9;3,9;5,8;3,3;5,8
Tunisia;5,6;4,0;5,7;6,8;3,8;4,8;7,6;5,5
Turkmenistan;5,2;6,7;5,1;6,3;3,8;4,2;2,5;4,8
Afghanistan;3,0;1,7;3,9;3,5;3,8;3,8;4,4;3,4
Algeria;5,4;4,7;5,8;7,0;3,8;3,8;4,8;5,0
Haiti;3,7;4,5;3,8;3,6;3,8;3,4;5,2;4,0
Uzbekistan;5,4;6,1;5,6;6,7;3,8;4,6;4,0;5,2
Mauritius;6,7;6,3;6,9;7,3;3,7;5,6;7,6;6,3
Lebanon;4,6;3,7;4,2;7,2;3,6;4,9;5,8;4,9
Yemen;2,4;2,8;2,8;3,2;3,6;3,3;2,2;2,9
Libya;4,5;4,5;3,7;5,4;2,9;3,2;3,9;4,0
Syria;3,1;2,1;4,1;4,8;2,9;3,8;2,3;3,3