Unnamed: 0,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,ALBANIA,,645.0,748.0,937.0,1127.0,1420.0,1856.0,2417.0,2932.0,3514.0,3256.0,3673.0,4131.0,4736.0,5118.0,5927.0,6406.0,2658.0,5689.0,7544.0
1,ALGERIA,,1234.0,1443.0,1638.0,1743.0,1772.0,1912.0,2070.0,2395.0,2634.0,2733.0,2301.0,1710.0,2039.0,2451.0,2657.0,2371.0,591.0,125.0,1398.0
2,AMERICAN SAMOA,,,,,,,,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.6,,,
3,ANDORRA,,11668.0,11049.0,10737.0,10743.0,10194.0,9112.0,8551.0,7983.0,7900.0,7676.0,7797.0,7850.0,8025.0,8152.0,8328.0,8235.0,5207.0,5422.0,8427.0
4,ANGUILLA,,121.0,143.0,167.0,164.0,128.0,112.0,118.0,124.0,129.0,151.0,177.0,186.0,176.0,151.0,87.0,166.0,41.0,29.0,96.0
6,ANTIGUA AND BARBUDA,Thousands,769.0,712.0,838.0,935.0,863.0,944.0,788.0,848.0,819.0,777.0,771.0,894.0,874.0,1040.0,1064.0,1035.0,276.0,250.0,642.0
8,ARGENTINA,Thousands,,,,,,,,,,,,,9986.0,9964.0,10394.0,11131.0,3096.0,460.0,7503.0
10,ARMENIA,Thousands,,,,,,,,,,,,,,,,,,,
12,ARUBA,Thousands,1304.0,1286.0,1285.0,1254.0,1383.0,1420.0,1394.0,1469.0,1481.0,1667.0,1739.0,1832.0,1758.0,1863.0,1897.0,1951.0,623.0,943.0,1711.0
14,AUSTRALIA,Thousands,5215.0,5499.0,5532.0,5644.0,5586.0,5490.0,5790.0,5771.0,6032.0,6482.0,6922.0,7449.0,8269.0,8815.0,9246.0,9466.0,1828.0,246.0,3694.0
16,AUSTRIA,Thousands,,,,,,,,,,,,,,,,,,,
18,AZERBAIJAN,Thousands,1279.0,1177.0,1194.0,1333.0,1899.0,1830.0,1963.0,2239.0,2484.0,2509.0,2298.0,2006.0,2249.0,2697.0,2850.0,3170.0,796.0,792.0,1602.0
20,BAHAMAS,Thousands,5004.0,4779.0,4731.0,4601.0,4394.0,4645.0,5255.0,5588.0,5940.0,6151.0,6320.0,6112.0,6265.0,6136.0,6622.0,7250.0,1795.0,2101.0,7001.0
22,BAHRAIN,Thousands,5667.0,6313.0,7289.0,7833.0,8631.0,8861.0,11952.0,6732.0,8062.0,9163.0,10452.0,9670.0,10158.0,11374.0,12045.0,11061.0,1909.0,3612.0,9949.0
24,BANGLADESH,Thousands,,,,,,,,,,,,,,,,,,,
26,BARBADOS,Thousands,1273.0,1111.0,1102.0,1191.0,1165.0,1154.0,1197.0,1187.0,1053.0,1079.0,1079.0,1179.0,1227.0,1345.0,1356.0,966.0,546.0,242.0,898.0
28,BELARUS,Thousands,1816.0,4738.0,5276.0,5283.0,5262.0,4872.0,5674.0,5877.0,6130.0,6242.0,5375.0,4386.0,10935.0,11060.0,11502.0,11832.0,3598.0,3361.0,4920.0
30,BELGIUM,Thousands,,,,,,,,,,,,,,,,,,,
32,BELIZE,Thousands,1329.0,1037.0,903.0,880.0,846.0,941.0,1054.0,1106.0,1028.0,1022.0,1289.0,1299.0,1391.0,1441.0,1697.0,1674.0,487.0,437.0,
34,BENIN,Thousands,845.0,960.0,975.0,1010.0,1027.0,,,222.0,232.0,252.0,265.0,279.0,292.0,307.0,322.0,337.0,354.0,,
36,BERMUDA,Thousands,478.0,517.0,635.0,660.0,550.0,554.0,580.0,652.0,610.0,576.0,580.0,597.0,642.0,688.0,766.0,805.0,51.0,86.0,549.0
38,BHUTAN,Thousands,,,,,,,,,,,,,,,,,,,
40,"BOLIVIA, PLURINATIONAL STATE OF",Thousands,,,,,,,,,,,,,,,,,,,
42,BONAIRE,Thousands,116.0,103.0,126.0,172.0,250.0,280.0,297.0,,,,,,,,,,,,
44,BOSNIA AND HERZEGOVINA,Thousands,,,,,,,,,,,,,,,,,,,
46,BOTSWANA,Thousands,1727.0,1684.0,1642.0,1965.0,2344.0,,,,,,,1660.0,1712.0,1775.0,1830.0,1555.0,358.0,338.0,
48,BRAZIL,Thousands,,,,,,,,,,,,,,,,,,,
50,BRITISH VIRGIN ISLANDS,Thousands,813.0,821.0,825.0,948.0,934.0,857.0,842.0,831.0,753.0,742.0,773.0,922.0,1124.0,,,895.0,,,
52,BRUNEI DARUSSALAM,Thousands,,815.0,836.0,877.0,,,,,,,,,4257.0,4316.0,4521.0,4449.0,1071.0,110.0,
54,BULGARIA,Thousands,6982.0,7282.0,7499.0,7726.0,8533.0,7873.0,8374.0,8713.0,8867.0,9192.0,9409.0,9317.0,10604.0,11596.0,12368.0,12552.0,4973.0,7188.0,10888.0
56,BURKINA FASO,Thousands,,,,,,,,,,,,,,,,,,,
58,BURUNDI,Thousands,,,,,,,,,,,,,,,,,,,
60,CABO VERDE,Thousands,,,,,,,,,,,,,,,,,,,
62,CAMBODIA,Thousands,,,,,,,,,,,,,,,,,,,
64,CAMEROON,Thousands,,,451.0,477.0,487.0,498.0,573.0,604.0,817.0,783.0,822.0,897.0,994.0,1081.0,997.0,1021.0,616.0,963.0,539.0
66,CANADA,Thousands,38845.0,36160.0,33390.0,30373.0,27370.0,24696.0,25621.0,25066.0,25318.0,25167.0,25558.0,27555.0,30142.0,31081.0,31274.0,32430.0,5068.0,4282.0,17924.0
68,CAYMAN ISLANDS,Thousands,1953.0,1967.0,2197.0,2008.0,1856.0,1792.0,1886.0,1710.0,1829.0,1721.0,1993.0,2102.0,2097.0,2147.0,2384.0,2334.0,660.0,,1028.0
70,CENTRAL AFRICAN REPUBLIC,Thousands,,,,,,,,,,,,,,,,,,,
72,CHAD,Thousands,106.0,59.0,,,,,,,,,,,,,,,,,
74,CHILE,Thousands,,,,,3713.0,3657.0,3584.0,3963.0,4397.0,4457.0,4601.0,5487.0,6712.0,7621.0,6603.0,5431.0,1311.0,192.0,2269.0
76,CHINA,Thousands,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,27467.0,26380.0,25250.0
78,COLOMBIA,Thousands,840.0,981.0,2096.0,2381.0,2545.0,2649.0,1701.0,2356.0,2434.0,2595.0,2866.0,3371.0,3675.0,4056.0,4398.0,4531.0,1387.0,2146.0,4686.0
80,COMOROS,Thousands,,,,,,,,,,,,,,,,,,,
82,CONGO,Thousands,,,,,,,199.0,224.0,259.0,345.0,229.0,224.0,213.0,151.0,158.0,,,,
84,"CONGO, DEMOCRATIC REPUBLIC OF THE",Thousands,,,,,,,,197.0,,,,,,,,,,,
86,COOK ISLANDS,Thousands,,,,,,,,,,,,,,,,,,,
88,COSTA RICA,Thousands,1771.0,1959.0,2071.0,2302.0,2409.0,2309.0,2495.0,2526.0,2542.0,2641.0,2760.0,2899.0,3204.0,3231.0,3313.0,3378.0,1147.0,1376.0,2497.0
90,COTE D´IVOIRE,Thousands,,,,182.0,205.0,231.0,252.0,270.0,289.0,380.0,471.0,1441.0,1583.0,1800.0,1965.0,2070.0,668.0,576.0,2047.0
92,CROATIA,Thousands,44974.0,45762.0,47733.0,52271.0,51336.0,47573.0,49006.0,49969.0,47185.0,48345.0,51168.0,55858.0,57587.0,59238.0,57668.0,60021.0,21608.0,34123.0,50023.0
94,CUBA,Thousands,2049.0,2319.0,2221.0,2152.0,2348.0,2430.0,2532.0,2716.0,2847.0,2862.0,3014.0,3540.0,4009.0,4654.0,4712.0,4276.0,1086.0,356.0,1614.0
96,CURAÇAO,Thousands,452.0,510.0,572.0,664.0,773.0,808.0,762.0,837.0,908.0,1071.0,1129.0,1072.0,944.0,1058.0,1210.0,1293.0,436.0,418.0,1034.0
98,CYPRUS,Thousands,2478.0,2657.0,2629.0,2671.0,2631.0,2370.0,2450.0,2626.0,2635.0,2626.0,2558.0,2780.0,3286.0,3750.0,4024.0,4117.0,,,
100,CZECH REPUBLIC (CZECHIA),Thousands,23808.0,24747.0,25102.0,22625.0,21850.0,23285.0,21941.0,22810.0,25750.0,26332.0,27166.0,29604.0,32519.0,34701.0,36268.0,37202.0,10267.0,10014.0,
102,DENMARK,Thousands,22054.0,26927.0,26936.0,27138.0,26870.0,26571.0,26730.0,25811.0,26402.0,26516.0,28070.0,28209.0,28692.0,30736.0,30801.0,32065.0,16031.0,18372.0,31530.0
104,DJIBOUTI,Thousands,,,,,,,,,,,,,,,,,,,
106,DOMINICA,Thousands,466.0,381.0,465.0,437.0,468.0,608.0,595.0,418.0,348.0,311.0,370.0,358.0,356.0,230.0,199.0,322.0,140.0,66.0,235.0
108,DOMINICAN REPUBLIC,Thousands,3907.0,3981.0,4268.0,4365.0,4455.0,4489.0,4478.0,4654.0,4901.0,5114.0,5576.0,6129.0,6769.0,7296.0,7551.0,7550.0,2748.0,5327.0,8489.0
110,ECUADOR,Thousands,819.0,860.0,841.0,937.0,1005.0,968.0,1047.0,1141.0,1272.0,1364.0,1695.0,1676.0,1569.0,1806.0,2535.0,2108.0,507.0,669.0,1265.0
112,EGYPT,Thousands,8104.0,8608.0,9083.0,11091.0,12835.0,12536.0,14731.0,9845.0,11532.0,9464.0,9878.0,9328.0,5399.0,8292.0,11346.0,13026.0,3677.0,7998.0,11724.0
114,EL SALVADOR,Thousands,1030.0,1306.0,1501.0,1720.0,1875.0,1482.0,1606.0,1634.0,1738.0,1822.0,1886.0,1973.0,2052.0,2247.0,2536.0,2639.0,707.0,1436.0,2541.0
116,EQUATORIAL GUINEA,Thousands,,,,,,,,,,,,,,,,,,,
118,ERITREA,Thousands,87.0,83.0,78.0,81.0,70.0,79.0,84.0,107.0,129.0,141.0,119.0,114.0,142.0,,,,,,
120,ESTONIA,Thousands,,,,,3828.0,3834.0,4369.0,4907.0,5007.0,5737.0,5804.0,5696.0,5942.0,6145.0,6033.0,6103.0,1695.0,1310.0,3497.0
122,ESWATINI,Thousands,,1182.0,1200.0,1230.0,1186.0,1344.0,1343.0,1328.0,1278.0,1299.0,1325.0,1256.0,1279.0,1343.0,1277.0,1226.0,345.0,211.0,503.0
124,ETHIOPIA,Thousands,,,,,,,,,,,,,,,,,,,
126,FIJI,Thousands,513.0,547.0,,542.0,627.0,605.0,692.0,734.0,741.0,769.0,781.0,869.0,963.0,1027.0,1058.0,969.0,168.0,32.0,652.0
128,FINLAND,Thousands,4854.0,5038.0,5345.0,5736.0,6072.0,5695.0,6182.0,7260.0,7636.0,,,,,,,,,,
130,FRANCE,Thousands,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0,141297.0,
132,FRENCH GUIANA,Thousands,,,,,,,,,,,,,,,,,,,
134,FRENCH POLYNESIA,Thousands,,,,243.0,227.0,190.0,179.0,196.0,210.0,214.0,228.0,239.0,241.0,254.0,260.0,282.0,89.0,95.0,261.0
136,GABON,Thousands,351.0,526.0,,,,,,,,,,,,,,,,,
138,GAMBIA,Thousands,459.0,460.0,613.0,487.0,643.0,,,,,,,,,,,,,,
140,GEORGIA,Thousands,368.0,560.0,983.0,1052.0,1290.0,1500.0,2032.0,2712.0,4106.0,4954.0,5004.0,5256.0,5393.0,6483.0,7203.0,7726.0,1513.0,1721.0,4704.0
142,GERMANY,Thousands,,,,,,,,,,,,,,,,,,,
144,GHANA,Thousands,,,,,,,,,,,,,,,,,,,
146,GREECE,Thousands,14268.0,15938.0,17284.0,,,,,,,20112.0,24272.0,26114.0,28071.0,30161.0,33072.0,34005.0,7406.0,15246.0,29876.0
148,GRENADA,Thousands,370.0,380.0,342.0,406.0,428.0,460.0,445.0,447.0,370.0,327.0,387.0,437.0,474.0,468.0,529.0,526.0,217.0,72.0,335.0
150,GUADELOUPE,Thousands,560.0,445.0,447.0,500.0,527.0,458.0,497.0,419.0,487.0,645.0,720.0,822.0,857.0,970.0,1166.0,,,,
152,GUAM,Thousands,,,,,,,,,,,,,,,,,,,
154,GUATEMALA,Thousands,1182.0,1316.0,1502.0,1628.0,1715.0,1311.0,1384.0,1434.0,1491.0,1516.0,1739.0,1865.0,1906.0,2113.0,2406.0,2560.0,594.0,666.0,1845.0
156,GUINEA,Thousands,,,47.0,,,,,,,,,,,,,,,,
158,GUINEA-BISSAU,Thousands,,,,,,,,,,,,,,,,,,,
160,GUYANA,Thousands,,,,,,,,,,,,,,,,,,,
162,HAITI,Thousands,385.0,480.0,558.0,868.0,758.0,826.0,793.0,946.0,959.0,1064.0,1128.0,1190.0,1153.0,1262.0,1333.0,938.0,322.0,148.0,
164,HONDURAS,Thousands,1026.0,1118.0,1136.0,1309.0,1561.0,1589.0,1965.0,1852.0,1903.0,1857.0,2082.0,2093.0,2228.0,2144.0,2323.0,2315.0,669.0,826.0,1911.0
166,"HONG KONG, CHINA",Thousands,21811.0,23359.0,25251.0,28169.0,29507.0,29591.0,36030.0,41921.0,48615.0,54299.0,60839.0,59308.0,56655.0,58472.0,65148.0,55913.0,3569.0,91.0,605.0
168,HUNGARY,Thousands,33934.0,36173.0,38318.0,39379.0,39554.0,40624.0,39904.0,41304.0,43565.0,43611.0,45984.0,48345.0,52890.0,54962.0,57667.0,61397.0,31641.0,36688.0,46343.0
170,ICELAND,Thousands,405.0,429.0,477.0,539.0,561.0,563.0,559.0,628.0,765.0,900.0,1102.0,1389.0,1891.0,2353.0,2488.0,2202.0,488.0,717.0,
172,INDIA,Thousands,3512.0,4038.0,4626.0,5244.0,5373.0,5295.0,5881.0,,,,,,,15543.0,17423.0,17914.0,6337.0,7010.0,14330.0
174,INDONESIA,Thousands,5321.0,5002.0,4871.0,5506.0,6234.0,6324.0,7003.0,7650.0,8044.0,8802.0,9435.0,10407.0,11519.0,14040.0,15810.0,16107.0,4053.0,1558.0,5889.0
176,"IRAN, ISLAMIC REPUBLIC OF",Thousands,1659.0,1889.0,2735.0,2219.0,2034.0,2116.0,2938.0,3354.0,3834.0,4769.0,4968.0,5237.0,4942.0,4867.0,7295.0,9107.0,1550.0,989.0,4108.0
178,IRAQ,Thousands,,,,,864.0,1262.0,1518.0,1510.0,1111.0,892.0,,,,,,,,,
180,IRELAND,Thousands,,,,,,,,,,,,,,,,,,,
182,ISRAEL,Thousands,1506.0,1916.0,1834.0,2294.0,3034.0,2740.0,3444.0,3362.0,3520.0,3540.0,3251.0,3109.0,3070.0,3863.0,4389.0,4905.0,887.0,402.0,2851.0
184,ITALY,Thousands,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93229.0,95399.0,38419.0,40186.0,74317.0
186,JAMAICA,Thousands,2515.0,2615.0,3016.0,2880.0,2859.0,2753.0,2832.0,3077.0,3306.0,3274.0,3504.0,3692.0,3837.0,4276.0,4319.0,4234.0,1330.0,1535.0,3331.0
188,JAPAN,Thousands,6138.0,6728.0,7334.0,8347.0,8351.0,6790.0,8611.0,6219.0,8358.0,10364.0,13413.0,19737.0,24039.0,28691.0,31192.0,31882.0,4116.0,246.0,3832.0
190,JORDAN,Thousands,5587.0,5817.0,6573.0,6529.0,7100.0,7085.0,8078.0,6813.0,6314.0,5389.0,5327.0,4809.0,4236.0,4565.0,4922.0,5361.0,1240.0,2359.0,5049.0
192,KAZAKHSTAN,Thousands,4291.0,4365.0,4707.0,5311.0,4117.0,3774.0,4097.0,5685.0,6163.0,6841.0,6333.0,6430.0,6509.0,7701.0,8789.0,8515.0,2035.0,1330.0,4729.0
194,KENYA,Thousands,1361.0,1479.0,1601.0,1817.0,1203.0,1490.0,1609.0,1823.0,1711.0,1520.0,1350.0,1181.0,1340.0,1449.0,2025.0,2049.0,568.0,870.0,1484.0
196,KIRIBATI,Thousands,64.0,50.0,11.0,32.0,,,,,,,8.3,8.2,7.6,7.5,9.0,12.0,,,
198,"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF",Thousands,,,,,,,,,,,,,,,,,,,
200,"KOREA, REPUBLIC OF",Thousands,5818.0,6023.0,6155.0,6448.0,6891.0,7818.0,8798.0,9795.0,11140.0,12176.0,14202.0,13232.0,17242.0,13336.0,15347.0,17503.0,2519.0,967.0,3198.0
202,KUWAIT,Thousands,3056.0,3474.0,3899.0,4482.0,4736.0,5088.0,5208.0,5574.0,5729.0,6217.0,6528.0,6941.0,7055.0,7407.0,8508.0,8565.0,2161.0,1606.0,
204,KYRGYZSTAN,Thousands,398.0,319.0,766.0,1656.0,2379.0,2451.0,1224.0,3025.0,3393.0,4134.0,3791.0,4000.0,3853.0,4568.0,6947.0,8508.0,2079.0,3169.0,6901.0
